test_key_val.keys,test_key_val.rt,test_key_aro.keys,test_key_aro.rt,test_key_qual.keys,test_key_qual.rt,test_key_ncat.keys,test_key_ncat.rt,test_key_cats.keys,test_ncat_order.thisRepN,test_ncat_order.thisTrialN,test_ncat_order.thisN,test_ncat_order.thisIndex,test_ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_filename,link,copyright,slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,textbox_openfb.text
,,,,,,,,,0,7,7,7,1,last,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,0,1,1,4,1,test5.jpg,https://www.flickr.com/photos/silkebaron/2778692021/in/photolist-5exwk8-CeHF3S-5gg796-95cM2x-LGUrp7-oFgB6-2k7B5QN-aufKzz-hn8Di-8A3htc-8EagiU-4Hvk3Y-2b7s1f8-KSEPr-KSseq-KSrU3-KSu4o-KSsS3-Tp6nDS-KSCUM-VpC5Br-4j8meK-bdrepT-7GRM78-e6Zw96-8cCPed-9ANgBi-oFg73-2GGRxm-5dcivP-7sa8oG-2GGRzW-7CFUnh-3giGx-5Bz4op-3gTuGh-5cSvq6-pUnXj-hwTpWT-48n3iY-e5zg7q-7u7zP8-49195x-3iQDe9-aL7cWX-5exvLk-48n2Yy-toytsg-rw5VR-78NSA2,CC BY 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.5667,5,0.0869,5,0.1301,0,0.4872,,0,0,0,0,1,main,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,1,1,second,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,2,1,third,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,3,1,fourth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,4,1,fifth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,5,1,sixth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,6,1,seventh,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,7,1,last,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,0,2,2,1,1,test2.jpg,https://www.flickr.com/photos/cavalier92/16036265548/,CC BY-NC-ND 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.3734,5,0.0506,5,0.8425,0,0.3391,,0,0,0,0,1,main,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,1,1,second,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,2,1,third,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,3,1,fourth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,4,1,fifth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,5,1,sixth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,6,1,seventh,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,7,1,last,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
